"Plugin","Version","Type","Category","Rule_Or_Check","File_Location","Message","Severity"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Releases","Missing GitHub artifact attestations for release assets main.js; styles.css Artifact attestations let users cryptographically verify the provenance of the release assets; proving they were built from the source repository.","General / Release Assets","Missing GitHub artifact attestations for release assets main.js; styles.css Artifact attestations let users cryptographically verify the provenance of the release assets; proving they were built from the source repository.","Recommendation"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Behavior","Direct Filesystem Access: Uses the Node.js fs module to access the filesystem outside of the Obsidian vault API. Can read and write any file on the system.","General / Release Assets","Direct Filesystem Access: Uses the Node.js fs module to access the filesystem outside of the Obsidian vault API. Can read and write any file on the system.","Warning"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Behavior","Shell Execution: Executes shell commands via child_process. Gives the plugin full control over the system.","General / Release Assets","Shell Execution: Executes shell commands via child_process. Gives the plugin full control over the system.","Warning"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Behavior","Vault Enumeration: Enumerates all files in the vault (vault.getFiles; getMarkdownFiles; etc.). Gives the plugin access to every file path in the vault.","General / Release Assets","Vault Enumeration: Enumerates all files in the vault (vault.getFiles; getMarkdownFiles; etc.). Gives the plugin access to every file path in the vault.","Recommendation"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Behavior","Clipboard Access: Reads or writes the system clipboard. May expose content copied from outside Obsidian.","General / Release Assets","Clipboard Access: Reads or writes the system clipboard. May expose content copied from outside Obsidian.","Recommendation"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Behavior","Dynamic Code Execution: Executes dynamically generated code via eval() or new Function(). Prevents full static analysis of plugin behavior.","General / Release Assets","Dynamic Code Execution: Executes dynamically generated code via eval() or new Function(). Prevents full static analysis of plugin behavior.","Recommendation"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Sets styles directly instead of using CSS classes; setCssProps; or setCssStyles obsidianmd/no-static-styles-assignment","src/features/asciidraw/ui/AsciiCodeblockRenderer.ts:86","Found Sets styles directly instead of using CSS classes, setCssProps, or setCssStyles obsidianmd/no-static-styles-assignment","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Sets styles directly instead of using CSS classes; setCssProps; or setCssStyles obsidianmd/no-static-styles-assignment","src/features/asciidraw/ui/AsciiDrawModal.ts:315","Found Sets styles directly instead of using CSS classes, setCssProps, or setCssStyles obsidianmd/no-static-styles-assignment","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Sets styles directly instead of using CSS classes; setCssProps; or setCssStyles obsidianmd/no-static-styles-assignment","src/features/asciidraw/ui/AsciiDrawModal.ts:566","Found Sets styles directly instead of using CSS classes, setCssProps, or setCssStyles obsidianmd/no-static-styles-assignment","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Sets styles directly instead of using CSS classes; setCssProps; or setCssStyles obsidianmd/no-static-styles-assignment","src/features/asciidraw/ui/AsciiDrawModal.ts:585","Found Sets styles directly instead of using CSS classes, setCssProps, or setCssStyles obsidianmd/no-static-styles-assignment","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/leaflet/properties/components/iconSuggest.ts:10","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/sqlseal/modules/editor/codeblockHandler/CodeblockProcessor.ts:199","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/sqlseal/modules/editor/codeblockHandler/CodeblockProcessor.ts:437","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/sqlseal/modules/editor/codeblockHandler/inline/InlineProcessor.ts:55","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
