"Plugin","Version","Type","Category","Rule_Or_Check","File_Location","Message","Severity","Qty"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Passed","Build verified against source.","General / Release Assets","Build verified against source.","Pass","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Passed","The main.js release asset has a verified GitHub artifact attestation.","General / Release Assets","The main.js release asset has a verified GitHub artifact attestation.","Pass","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Passed","The styles.css release asset has a verified GitHub artifact attestation.","General / Release Assets","The styles.css release asset has a verified GitHub artifact attestation.","Pass","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Passed","Vault Read: Reads individual vault files via the Obsidian API (vault.read; vault.cachedRead)","General / Release Assets","Vault Read: Reads individual vault files via the Obsidian API (vault.read; vault.cachedRead)","Pass","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Passed","Vault Write: Creates or modifies vault files via the Obsidian API (vault.modify; vault.create; etc.)","General / Release Assets","Vault Write: Creates or modifies vault files via the Obsidian API (vault.modify; vault.create; etc.)","Pass","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Passed","No vulnerable dependencies found.","General / Release Assets","No vulnerable dependencies found.","Pass","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Disclosures","Number of network request calls","General / Release Assets","Number of network request calls","Disclosure","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Disclosures","Code uses runtime base64 encode or decode calls","General / Release Assets","Code uses runtime base64 encode or decode calls","Disclosure","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Disclosures","WASM module (inline WASM blob #1) exports its linear memory","General / Release Assets","WASM module (inline WASM blob #1) exports its linear memory","Disclosure","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Disclosures","Malware scan not available.","General / Release Assets","Malware scan not available.","Disclosure","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Disclosures","Obfuscation scan not available.","General / Release Assets","Obfuscation scan not available.","Disclosure","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Disclosures","Network requests scan not available.","General / Release Assets","Network requests scan not available.","Disclosure","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Disclosures","Disabling '@typescript-eslint/no-explicit-any' is not allowed.	47","General / Release Assets","Disabling '@typescript-eslint/no-explicit-any' is not allowed.	47","Disclosure","1"
