"Plugin","Version","Type","Category","Rule_Or_Check","File_Location","Message","Severity"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Releases","Missing GitHub artifact attestations for release assets main.js; styles.css","General / Release Assets","Missing GitHub artifact attestations for release assets main.js; styles.css. Artifact attestations let users cryptographically verify provenance.","Recommendation"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Releases","Build output does not match the released main.js artifact","General / Release Assets","Build output does not match the released main.js artifact","Recommendation"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Behavior","Vault Read: Reads individual vault files via the Obsidian API (vault.read; vault.cachedRead)","General / Release Assets","Reads individual vault files via the Obsidian API","Pass"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Behavior","Vault Write: Creates or modifies vault files via the Obsidian API (vault.modify; vault.create; etc.)","General / Release Assets","Creates or modifies vault files via the Obsidian API","Pass"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Disclosures","Number of network request calls","General / Release Assets","Number of network request calls","Disclosure"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Disclosures","Code uses runtime base64 encode or decode calls","General / Release Assets","Code uses runtime base64 encode or decode calls","Disclosure"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Disclosures","WASM module (inline WASM blob #1) exports its linear memory","General / Release Assets","WASM module (inline WASM blob #1) exports its linear memory","Disclosure"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Behavior","Vault Enumeration: Enumerates all files in the vault (vault.getFiles; getMarkdownFiles; etc.)","General / Release Assets","Enumerates all files in the vault. Gives the plugin access to every file path in the vault.","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Behavior","Clipboard Access: Reads or writes the system clipboard","General / Release Assets","Reads or writes the system clipboard. May expose content copied from outside Obsidian.","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Behavior","Dynamic Code Execution: Executes dynamically generated code via eval() or new Function()","General / Release Assets","Executes dynamically generated code via eval() or new Function(). Prevents full static analysis of plugin behavior.","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","src/features/asciidraw/utils/serializer.ts:15","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","src/features/asciidraw/utils/serializer.ts:16","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","src/features/asciidraw/utils/serializer.ts:17","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","src/features/asciidraw/utils/serializer.ts:18","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","src/features/asciidraw/utils/serializer.ts:19","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","src/features/asciidraw/utils/serializer.ts:27","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","src/features/asciidraw/utils/serializer.ts:28","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","src/features/asciidraw/utils/serializer.ts:29","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","Warning"
