"Plugin","Version","Type","Category","Rule_Or_Check","File_Location","Message","Severity"
"PakCLI Table","1.0.28","Obsidian-Official-Community","Releases","Missing GitHub artifact attestations for release assets main.js; styles.css","General / Release Assets","Missing GitHub artifact attestations for release assets main.js; styles.css. Artifact attestations let users cryptographically verify provenance.","Recommendation"
"PakCLI Table","1.0.28","Obsidian-Official-Community","Releases","Build output does not match the released main.js artifact","General / Release Assets","Build output does not match the released main.js artifact","Recommendation"
"PakCLI Table","1.0.28","Obsidian-Official-Community","Behavior","Vault Read: Reads individual vault files via the Obsidian API (vault.read; vault.cachedRead)","General / Release Assets","Reads individual vault files via the Obsidian API","Pass"
"PakCLI Table","1.0.28","Obsidian-Official-Community","Behavior","Vault Write: Creates or modifies vault files via the Obsidian API (vault.modify; vault.create; etc.)","General / Release Assets","Creates or modifies vault files via the Obsidian API","Pass"
"PakCLI Table","1.0.28","Obsidian-Official-Community","Disclosures","Number of network request calls","General / Release Assets","Number of network request calls","Disclosure"
"PakCLI Table","1.0.28","Obsidian-Official-Community","Disclosures","Code uses runtime base64 encode or decode calls","General / Release Assets","Code uses runtime base64 encode or decode calls","Disclosure"
"PakCLI Table","1.0.28","Obsidian-Official-Community","Disclosures","WASM module (inline WASM blob #1) exports its linear memory","General / Release Assets","Exporting WASM memory allows the JavaScript host to directly read and write the module's entire address space.","Disclosure"
"PakCLI Table","1.0.28","Obsidian-Official-Community","Behavior","Vault Enumeration: Enumerates all files in the vault (vault.getFiles; getMarkdownFiles; etc.)","General / Release Assets","Enumerates all files in the vault. Gives the plugin access to every file path in the vault.","Warning"
"PakCLI Table","1.0.28","Obsidian-Official-Community","Behavior","Clipboard Access: Reads or writes the system clipboard","General / Release Assets","Reads or writes the system clipboard. May expose content copied from outside Obsidian.","Warning"
"PakCLI Table","1.0.28","Obsidian-Official-Community","Behavior","Dynamic Code Execution: Executes dynamically generated code via eval() or new Function()","General / Release Assets","Executes dynamically generated code via eval() or new Function(). Prevents full static analysis of plugin behavior.","Warning"
"PakCLI Table","1.0.28","Obsidian-Official-Community","Source code","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access (732 occurrences)","General / TypeScript Codebase","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access (732 occurrences remaining, down from 809)","Warning"
"PakCLI Table","1.0.28","Obsidian-Official-Community","Source code","Unsafe call of an error or any typed value @typescript-eslint/no-unsafe-call (323 occurrences)","General / TypeScript Codebase","Unsafe call of an error or any typed value @typescript-eslint/no-unsafe-call (323 occurrences)","Warning"
"PakCLI Table","1.0.28","Obsidian-Official-Community","Source code","Unsafe assignment of an error or any typed value @typescript-eslint/no-unsafe-assignment (321 occurrences)","General / TypeScript Codebase","Unsafe assignment of an error or any typed value @typescript-eslint/no-unsafe-assignment (321 occurrences)","Warning"
"PakCLI Table","1.0.28","Obsidian-Official-Community","Source code","Unexpected any. Specify a different type @typescript-eslint/no-explicit-any (287 occurrences)","General / TypeScript Codebase","Unexpected any. Specify a different type @typescript-eslint/no-explicit-any (287 occurrences)","Warning"
"PakCLI Table","1.0.28","Obsidian-Official-Community","Source code","Passes unsafe values into typed parameters @typescript-eslint/no-unsafe-argument (178 occurrences)","General / TypeScript Codebase","Passes unsafe values into typed parameters @typescript-eslint/no-unsafe-argument (178 occurrences)","Warning"
"PakCLI Table","1.0.28","Obsidian-Official-Community","Source code","This assertion is unnecessary since it does not change the type of the expression @typescript-eslint/no-unnecessary-type-assertion (94 occurrences)","General / TypeScript Codebase","This assertion is unnecessary since it does not change the type of the expression @typescript-eslint/no-unnecessary-type-assertion (94 occurrences)","Warning"
"PakCLI Table","1.0.28","Obsidian-Official-Community","Source code","Uses document.createElement instead of Obsidian's createEl helpers obsidianmd/prefer-create-el (87 occurrences)","General / DOM Creation","Uses document.createElement instead of Obsidian's createEl helpers obsidianmd/prefer-create-el (87 occurrences)","Warning"
"PakCLI Table","1.0.28","Obsidian-Official-Community","Source code","Returns unsafe values from typed code @typescript-eslint/no-unsafe-return (68 occurrences)","General / TypeScript Codebase","Returns unsafe values from typed code @typescript-eslint/no-unsafe-return (68 occurrences)","Warning"
"PakCLI Table","1.0.28","Obsidian-Official-Community","Source code","Promises must be awaited or marked as ignored with void (64 occurrences)","General / TypeScript Codebase","Promises must be awaited; end with a call to .catch; end with a call to .then with a rejection handler or be explicitly marked as ignored with the void operator (64 occurrences)","Warning"
"PakCLI Table","1.0.28","Obsidian-Official-Community","CSS Styles","Avoid !important in styles (57 occurrences)","General / CSS Styles","Avoid !important — override styles by increasing selector specificity or using CSS variables instead (57 occurrences)","Warning"
"PakCLI Table","1.0.28","Obsidian-Official-Community","CSS Styles","Unexpected duplicate \"cursor\" (10 occurrences)","src/styles/leaflet.css","Unexpected duplicate \"cursor\" (10 occurrences)","Warning"
