"Plugin","Version","Type","Category","Rule_Or_Check","File_Location","Message","Severity"
"PakCLI","1.0.12","Obsidian-Official-Community","Releases","Missing GitHub artifact attestations for release assets main.js; styles.css","General / Release Assets","Missing GitHub artifact attestations for release assets main.js; styles.css","Recommendation"
"PakCLI","1.0.12","Obsidian-Official-Community","Behavior","Vault Enumeration: Enumerates all files in the vault (vault.getFiles; getMarkdownFiles; etc.). Gives the plugin access to every file path in the vault.","General / Release Assets","Vault Enumeration: Enumerates all files in the vault (vault.getFiles; getMarkdownFiles; etc.). Gives the plugin access to every file path in the vault.","Recommendation"
"PakCLI","1.0.12","Obsidian-Official-Community","Behavior","Clipboard Access: Reads or writes the system clipboard. May expose content copied from outside Obsidian.","General / Release Assets","Clipboard Access: Reads or writes the system clipboard. May expose content copied from outside Obsidian.","Recommendation"
"PakCLI","1.0.12","Obsidian-Official-Community","Behavior","Dynamic Code Execution: Executes dynamically generated code via eval() or new Function(). Prevents full static analysis of plugin behavior.","General / Release Assets","Dynamic Code Execution: Executes dynamically generated code via eval() or new Function(). Prevents full static analysis of plugin behavior.","Recommendation"
"PakCLI","1.0.12","Obsidian-Official-Community","Source code","Sets styles directly instead of using CSS classes; setCssProps; or setCssStyles obsidianmd/no-static-styles-assignment","src/features/asciidraw/ui/AsciiCodeblockRenderer.ts:86","Found Sets styles directly instead of using CSS classes, setCssProps, or setCssStyles obsidianmd/no-static-styles-assignment","Error"
"PakCLI","1.0.12","Obsidian-Official-Community","Source code","Sets styles directly instead of using CSS classes; setCssProps; or setCssStyles obsidianmd/no-static-styles-assignment","src/features/asciidraw/ui/AsciiDrawModal.ts:315","Found Sets styles directly instead of using CSS classes, setCssProps, or setCssStyles obsidianmd/no-static-styles-assignment","Error"
"PakCLI","1.0.12","Obsidian-Official-Community","Source code","Sets styles directly instead of using CSS classes; setCssProps; or setCssStyles obsidianmd/no-static-styles-assignment","src/features/asciidraw/ui/AsciiDrawModal.ts:566","Found Sets styles directly instead of using CSS classes, setCssProps, or setCssStyles obsidianmd/no-static-styles-assignment","Error"
"PakCLI","1.0.12","Obsidian-Official-Community","Source code","Sets styles directly instead of using CSS classes; setCssProps; or setCssStyles obsidianmd/no-static-styles-assignment","src/features/asciidraw/ui/AsciiDrawModal.ts:585","Found Sets styles directly instead of using CSS classes, setCssProps, or setCssStyles obsidianmd/no-static-styles-assignment","Error"
"PakCLI","1.0.12","Obsidian-Official-Community","Source code","Avoid using ""settings"" in settings headings.","src/features/hub/settingsHub.ts:672","Found Avoid using "settings" in settings headings.","Error"
"PakCLI","1.0.12","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/sqlseal/modules/explorer/activateView.ts:21","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
